Name,Standarlized Name,Academic Influence Ranking (Concentrated Influence),Washington Monthly Ranking,UnitID,8-year graduation rate,Graduation rate rank,"Predicted graduation rate based on % of Pell recipients, incoming SATs, etc.",Graduation rate performance rank,Pell/non-Pell graduation gap,Pell graduation gap rank,Number of Pell graduates,Actual vs. predicted Pell enrollment,Pell performance rank,Earnings 10 years after college entry,Predicted earnings,Earnings performance rank,"Net price of attendance for families below $75,000 income",Net price rank,"Research expenditures, in millions",Research expenditures rank,Bachelor's to PhD rank,AmeriCorps/Peace Corps rank,ROTC rank,Percent of federal work-study funds spent on service,Percent of federal work-study funds spent on service rank,Earns Carnegie Community Engagement Classification?,Voting engagement points,Percent of grads with service-oriented majors,Service-oriented majors rank,Social mobility rank,Research rank,Service rank,State abbreviation,Times Higher Education Ranking (2022) ,City,State,US News Ranking (with ties) ,us_news_displayRank,us_news_schoolType,us_news_aliasNames,us_news_city,us_news_region,us_news_institutionalControl,us_news_isTied,us_news_actAvg,us_news_percentReceivingAid,us_news_acceptanceRate,us_news_tuition,us_news_hsGpaAvg,us_news_enrollment,us_news_satAvg,us_news_costAfterAid,us_news_Setting,Degree Choices Ranking,DC_economic_score,DC_cost,DC_earnings,DC_graduation_rate,Pell Students,UNITID,OPEID,URL,Men Enroll,Women Enroll,White Enroll,Black Enroll,Hispanic Enroll,Asian Enroll,AI/AN Enroll,NH/PI Enroll,2+ Races Enroll,Non-Res Aliens Enroll,Race Unkn Enroll,HBCU,PBI,ANNHI,TRIBAL,AANAPII,HSI,NANTI,Avg Cost (4yr),Adm Rate,Comp Rate (100%),Pub/Priv Type
marymount university,marymount university,490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maryville college,maryville college,261,157,220710,57%,156,64%,171,-18%,185,98,3%,72,45861,49402,146,16899,103,0,122,156,109,112,10%,50,YES,4,10%,56,173,162,49,tn,,,,172,#172,national-liberal-arts-colleges,,Maryville,,private,TRUE,19,,70,38514,3.4,1065,930,,Suburban,,,,,,0.3959,220710,350500,www.maryvillecollege.edu/,0.4575,0.5425,0.7236,0.0993,0.0512,0.0092,0.0051,0.001,0.0522,0.0563,0.002,0,0,0,0,0,0,0,52089,0.6950444727,0.4642,2
marywood university,marywood university,538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
massachusetts college of liberal arts,massachusetts college of liberal arts,412,104,,60%,146,54%,26,-15%,178,135,4%,64,46224,41371,39,13649,53,0,122,177,91,112,7%,101,NO,0,12%,51,71,180,129,ma,,,,121,#121,national-liberal-arts-colleges,,North Adams,,public,TRUE,,,93,21859,3.3,838,,,Rural,147,11.55,"$17,630","$48,102",59%,0.4442,167288,218700,https://www.mcla.edu/,0.4316,0.5684,0.6816,0.1079,0.1066,0.0263,0.0026,0.0026,0.0395,0,0.0329,0,0,0,0,0,0,0,25160,0.9244505495,0.4892,1
massachusetts maritime academy,massachusetts maritime academy,356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mayville state university,mayville state university,687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mcdaniel college,mcdaniel college,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mckendree university,mckendree university,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mcmurry university,mcmurry university,334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mcneese state university,mcneese state university,820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mcpherson college,mcpherson college,703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
medaille university,medaille university,1042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mercer university,mercer university,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ga,91,Macon,Georgia,,,,,,,,,,,,,,,,,,,,,,,0.3484,140447,158000,https://www.mercer.edu/,0.357,0.643,0.4477,0.3054,0.0762,0.0819,0.0013,0.0009,0.0429,0.0197,0.0241,0,0,0,0,0,0,0,55068,0.7468237163,0.6671,2
mercy college,mercy college,810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mercyhurst university,mercyhurst university,818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meredith college,meredith college,118,154,198950,63%,141,66%,140,-11%,151,106,-5%,145,44551,49965,164,18737,137,0,122,150,125,66,15%,29,NO,6,12%,45,169,159,57,nc,,,,130,#130,national-liberal-arts-colleges,,Raleigh,,private,TRUE,22,,73,43936,3.5,1322,1140,,City,99,5.25,"$20,269","$51,539",66%,0.3497,198950,294500,www.meredith.edu/,0,1,0.6461,0.0927,0.1314,0.0502,0.0085,0.0023,0.0201,0.0147,0.034,0,0,0,0,0,0,0,52815,0.7318309859,0.6303,2
merrimack college,merrimack college,623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
messiah university,messiah university,817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
methodist university,methodist university,283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metropolitan college of new york,metropolitan college of new york,327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metropolitan state university of denver,metropolitan state university of denver,1052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metropolitan university,metropolitan university,1112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
miami dade college,miami dade college,1158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
miami university,miami university,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oh,84,Oxford,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
miami university hamilton,miami university hamilton,582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
miami university middletown,miami university middletown,413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mid-america christian university,mid-america christian university,1211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
midamerica nazarene university,midamerica nazarene university,784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
middle georgia state university,middle georgia state university,1054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
middlebury college,middlebury college,76,19,230959,93%,8,93%,91,-4%,83,78,2%,73,67478,71811,152,9618,21,2.3,36,35,10,67,6%,115,YES,6,2%,131,53,29,6,vt,11,Middlebury,Vermont,11,#11,national-liberal-arts-colleges,,Middlebury,,private,TRUE,33,47,13,65280,,2773,1410,24376,,17,2.17,"$25,185","$76,310",94%,0.1498,230959,369100,https://www.middlebury.edu/,0.4675,0.5325,0.5609,0.0542,0.1203,0.0727,0.0011,0,0.0705,0.1138,0.0065,0,0,0,0,0,0,0,78820,0.1269302038,0.856,2
middlebury institute of international studies at monterey,middlebury institute of international studies at monterey,416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
midland college,midland college,912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
midland university,midland university,454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
midway university,midway university,757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
midwestern state university,midwestern state university,803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
miles college,miles college,243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
miller-motte college-wilmington,miller-motte college-wilmington,1256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
millersville university of pennsylvania,millersville university of pennsylvania,976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
milligan university,milligan university,215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
millikin university,millikin university,431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
millsaps college,millsaps college,110,131,175980,67%,126,62%,44,-6%,103,32,-13%,185,55965,57695,123,20033,154,0.5,82,31,36,60,2%,173,NO,0,2%,130,154,44,133,ms,,,,124,#124,national-liberal-arts-colleges,,Jackson,,private,TRUE,21,,68,43815,,637,1135,,,110,5.96,"$26,812","$53,848",68%,0.3443,175980,241400,www.millsaps.edu/,0.5466,0.4534,0.5949,0.2701,0.0434,0.0273,0.0032,0.0016,0.0096,0.0257,0.0241,0,0,0,0,0,0,0,59877,0.678280543,0.5476,2
milwaukee school of engineering,milwaukee school of engineering,345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
minnesota state university moorhead,minnesota state university moorhead,656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"minnesota state university, mankato","minnesota state university, mankato",896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
minot state university,minot state university,501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
miracosta college,miracosta college,1223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mississippi university for women,mississippi university for women,443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mississippi valley state university,mississippi valley state university,659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
missouri baptist university,missouri baptist university,1103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
missouri southern state university,missouri southern state university,939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
missouri valley college,missouri valley college,790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
missouri western state university,missouri western state university,944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mitchell college,mitchell college,394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
modesto junior college,modesto junior college,1123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
molloy university,molloy university,1173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monmouth college,monmouth college,183,139,147341,60%,149,62%,137,-14%,172,105,-5%,138,48330,50970,136,14564,60,0,122,132,11,53,3%,169,NO,0,6%,85,145,139,73,il,,,,129,#129,national-liberal-arts-colleges,,Monmouth,,private,FALSE,23,,66,43520,,755,1080,,,134,7.64,"$19,875","$51,110",59%,0.3293,147341,172500,www.monmouthcollege.edu/,0.5085,0.4915,0.6859,0.088,0.1183,0.0145,0.0026,0,0.0394,0.0184,0.0329,0,0,0,0,0,0,0,54707,0.9070407041,0.5088,2
monmouth university,monmouth university,470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monroe college,monroe college,997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
montana state university billings,montana state university billings,981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
montana state university–northern,montana state university–northern,951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
montana technological university,montana technological university,941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
montreat college,montreat college,253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
moravian university,moravian university,859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
morehead state university,morehead state university,828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
morehouse college,morehouse college,39,127,140553,55%,159,56%,124,-14%,168,173,12%,19,51715,53926,131,27764,195,5.7,4,94,33,11,4%,147,NO,3,0%,146,170,28,86,ga,,,,100,#100,national-liberal-arts-colleges,,Atlanta,,private,TRUE,18,,59,14734,3.5,2567,,,,143,9.49,"$36,836","$52,889",58%,0.433,140553,158200,www.morehouse.edu/,0.9996,0.0004,0.002,0.9844,0.0004,0,0.0004,0,0.0082,0.0047,0,1,0,0,0,0,0,0,48890,0.6000766137,0.397,2
morningside university,morningside university,862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
morris college,morris college,438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mount aloysius college,mount aloysius college,905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mount holyoke college,mount holyoke college,17,16,166939,85%,39,88%,149,5%,6,117,8%,30,53576,57162,147,13832,56,2.6,32,17,35,112,8%,95,YES,0,12%,49,38,15,41,ma,16,South Hadley,Massachusetts,34,#34,national-liberal-arts-colleges,,South Hadley,,private,FALSE,30,63,40,64142,3.9,2193,1350,31700,Suburban,124,6.8,"$31,444","$58,418",85%,0.2073,166939,219200,https://www.mtholyoke.edu/,0,1,0.5066,0.0499,0.0852,0.0673,0.0009,0.0009,0.0467,0.2313,0.011,0,0,0,0,0,0,0,75051,0.3976297507,0.7799,2
mount marty university,mount marty university,1079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mount mary university,mount mary university,634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mount mercy university,mount mercy university,627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mount saint mary college,mount saint mary college,643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mount saint mary's university,mount saint mary's university,1117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ca,88,Los Angeles,California,,,,,,,,,,,,,,,,,,,,,,,0.5606,119173,124300,https://www.msmu.edu/,0.0703,0.9297,0.0883,0.0647,0.5624,0.1766,0.0011,0.0028,0.0124,0.0051,0.0866,0,0,0,0,1,1,0,62383,0.7575883576,0.4785,2
mount st. joseph university,mount saint joseph university,779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mount st. mary's university,mount saint mary's university,279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mount vernon nazarene university,mount vernon nazarene university,1011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
muhlenberg college,muhlenberg college,159,48,214175,83%,50,78%,38,3%,18,68,-6%,149,69534,61077,16,18191,121,0.4,87,119,120,78,6%,111,YES,6,4%,104,36,117,60,pa,61,Allentown,Pennsylvania,70,#70,national-liberal-arts-colleges,,Allentown,,private,TRUE,29,66,66,60240,3.5,1945,1200,32940,City,36,3.01,"$27,729","$69,107",85%,0.2057,214175,330400,www.muhlenberg.edu/,0.3932,0.6068,0.7196,0.0429,0.1123,0.0341,0,0.001,0.0378,0.014,0.0383,0,0,0,0,0,0,0,71431,0.6551166551,0.7892,2
murray state university,murray state university,668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
muskingum university,muskingum university,365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
naropa university,naropa university,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
national american university,national american university,469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
national university,national university,908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nazareth university,nazareth university,1161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nebraska wesleyan university,nebraska wesleyan university,518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neumann university,neumann university,584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nevada state university,nevada state university,1218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new college of florida,new college of florida,89,18,,64%,136,65%,110,-3%,76,50,7%,39,46668,45206,72,6993,9,0.9,66,11,18,112,5%,132,NO,6,0%,149,37,18,44,fl,,,,100,#100,national-liberal-arts-colleges,,Sarasota,,public,TRUE,24,48,75,29944,3.9,669,1103,20132,Suburban,24,2.54,"$7,091","$48,082",65%,0.2975,262129,3957400,www.ncf.edu/,0.3199,0.6801,0.6457,0.0404,0.1704,0.0419,0,0.0015,0.0523,0.0359,0.012,0,0,0,0,0,0,0,22236,0.7540983607,0.5391,1
new england college,new england college,247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new england institute of technology,new england institute of technology,938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new jersey city university,new jersey city university,809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new mexico highlands university,new mexico highlands university,374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new mexico institute of mining and technology,new mexico institute of mining and technology,304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new saint andrews college,new saint andrews college,522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new york city college of technology,new york city college of technology,1083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new york institute of technology,new york institute of technology,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
newberry college,newberry college,414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"newman university, wichita","newman university, wichita",1169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
niagara university,niagara university,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nicholls state university,nicholls state university,910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
norfolk state university,norfolk state university,530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north carolina central university,north carolina central university,273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north carolina wesleyan university,north carolina wesleyan university,1217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north central college,north central college,398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north central university,north central university,510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north florida college,north florida college,1111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north greenville university,north greenville university,678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north park university,north park university,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north seattle college,north seattle college,1172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
northeastern illinois university,northeastern illinois university,650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
northeastern state university,northeastern state university,726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
northern marianas college,northern marianas college,743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
northern michigan university,northern michigan university,666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
northern new mexico college,northern new mexico college,958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
