,Name,name,UnitID,8-year graduation rate,Graduation rate rank,"Predicted graduation rate based on % of Pell recipients, incoming SATs, etc.",Graduation rate performance rank,Pell/non-Pell graduation gap,Pell graduation gap rank,Number of Pell graduates,Actual vs. predicted Pell enrollment,Pell performance rank,Earnings 10 years after college entry,Predicted earnings,Earnings performance rank,"Net price of attendance for families below $75,000 income",Net price rank,"Research expenditures, in millions",Research expenditures rank,Bachelor's to PhD rank,AmeriCorps/Peace Corps rank,ROTC rank,Percent of federal work-study funds spent on service,Percent of federal work-study funds spent on service rank,Earns Carnegie Community Engagement Classification?,Voting engagement points,Percent of grads with service-oriented majors,Service-oriented majors rank,Social mobility rank,Research rank,Service rank,state,THE_US_rank 2022,City,State,us_news_schoolType,us_news_aliasNames,us_news_city,us_news_region,us_news_institutionalControl,us_news_displayRank,us_news_sortRank,THE_rank,WM_Rank,us_news_isTied,us_news_actAvg,us_news_percentReceivingAid,us_news_acceptanceRate,us_news_tuition,us_news_hsGpaAvg,us_news_enrollment,us_news_satAvg,us_news_costAfterAid,us_news_Setting,DC_economic_score,DC_cost,DC_earnings,DC_graduation_rate,DC_Ranking,AI_Ranking,Pell Students,UNITID,OPEID,URL,Men Enroll,Women Enroll,White Enroll,Black Enroll,Hispanic Enroll,Asian Enroll,AI/AN Enroll,NH/PI Enroll,2+ Races Enroll,Non-Res Aliens Enroll,Race Unkn Enroll,HBCU,PBI,ANNHI,TRIBAL,AANAPII,HSI,NANTI,Avg Cost (4yr),Adm Rate,Comp Rate (100%),Pub/Priv Type
102,lawrence university,lawrence university,239017.0,79%,67.0,80%,118.0,-8%,126.0,69.0,14%,14.0,49848.0,57820.0,187.0,15407.0,76.0,0.6,78.0,44.0,2.0,112.0,9%,73.0,NO,0.0,2%,128.0,109.0,59.0,31.0,wi,168.0,Appleton,Wisconsin,national-liberal-arts-colleges,,Appleton,,private,#75,75.0,62.0,77.0,True,27.0,64.0,72.0,55461.0,3.7,1426.0,1210.0,28435.0,City,6.4,"$22,763","$55,789",78%,118.0,58.0,0.2282,239017.0,385600.0,https://www.lawrence.edu/,0.4614,0.5386,0.6067,0.0397,0.112,0.0546,0.0043,0.0,0.0524,0.1198,0.0106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65910.0,0.72273190621814,0.6193,2.0
103,st. john's college,saint john's college,163976.0,70%,105.0,77%,173.0,4%,12.0,22.0,15%,13.0,50692.0,45956.0,41.0,19485.0,148.0,0.0,122.0,24.0,5.0,112.0,9%,63.0,NO,0.0,0%,149.0,68.0,46.0,59.0,md,,,,national-liberal-arts-colleges,St John's College Saint John's College St Johns College Saint Johns College St. Johns College,Annapolis,,private,#75,75.0,,52.0,True,30.0,63.0,50.0,39126.0,3.8,462.0,1250.0,24913.0,City,,,,,,1231.0,,,,,,,,,,,,,,,,,,,,,,,,,,
104,wheaton college (massachusetts),wheaton college (massachusetts),168281.0,78%,75.0,79%,121.0,-1%,48.0,76.0,0%,94.0,61233.0,60186.0,77.0,21494.0,173.0,0.1,118.0,129.0,150.0,112.0,2%,171.0,NO,5.0,3%,116.0,97.0,131.0,152.0,ma,160.0,Norton,Massachusetts,national-liberal-arts-colleges,,Norton,,private,#76,75.0,57.0,126.0,True,27.0,72.0,80.0,62080.0,3.7,1667.0,1200.0,33317.0,Suburban,4.78,"$32,248","$67,725",77%,90.0,128.0,0.2158,168281.0,222700.0,www.wheatoncollege.edu/,0.3678,0.6322,0.7084,0.0557,0.069,0.0405,0.0012,0.0,0.046,0.043,0.0363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74460.0,0.7948399900769,0.7557,2.0
105,willamette university,willamette university,210401.0,73%,93.0,71%,69.0,-3%,77.0,95.0,2%,77.0,58329.0,56313.0,67.0,26384.0,194.0,1.9,40.0,28.0,12.0,74.0,8%,87.0,NO,0.0,0%,149.0,114.0,26.0,72.0,or,147.0,Salem,Oregon,national-liberal-arts-colleges,,Salem,,private,#75,75.0,52.0,86.0,True,27.0,61.0,81.0,48226.0,3.7,1367.0,1230.0,33510.0,,6.44,"$28,978","$56,911",74%,120.0,55.0,0.2462,210401.0,322700.0,www.willamette.edu/,0.4045,0.5955,0.6667,0.0187,0.1476,0.0487,0.006,0.006,0.0779,0.0105,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60106.0,0.80595893840761,0.678,2.0
106,juniata college,juniata college,213251.0,80%,61.0,74%,30.0,8%,4.0,78.0,0%,93.0,58446.0,58108.0,85.0,18586.0,133.0,0.5,84.0,39.0,72.0,112.0,5%,133.0,YES,5.0,9%,65.0,40.0,57.0,42.0,pa,,,,national-liberal-arts-colleges,,Huntingdon,,private,#82,82.0,,38.0,True,26.0,71.0,76.0,56402.0,3.6,1177.0,1120.0,32249.0,Rural,6.1,"$25,378","$56,918",74%,114.0,246.0,0.2448,213251.0,327900.0,www.juniata.edu/,0.4722,0.5278,0.7151,0.0466,0.0771,0.0233,0.0009,0.0,0.0385,0.0842,0.0143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65999.0,0.76160749122122,0.665,2.0
107,saint john's university,saint john's university,174792.0,75%,82.0,72%,51.0,-9%,136.0,74.0,0%,99.0,72070.0,67066.0,36.0,16661.0,98.0,1.0,59.0,45.0,61.0,2.0,6%,112.0,NO,6.0,4%,101.0,82.0,56.0,53.0,mn,,,,national-liberal-arts-colleges,St John's University Saint John's University St Johns University Saint Johns University St. Johns University,Collegeville,,private,#82,82.0,,66.0,True,21.0,62.0,86.0,53942.0,3.5,1528.0,915.0,28531.0,Rural,2.55,"$25,169","$76,786",74%,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,saint mary's college,saint mary's college,152390.0,79%,68.0,68%,10.0,-5%,100.0,79.0,-5%,144.0,57984.0,49278.0,15.0,15416.0,77.0,0.0,122.0,140.0,70.0,22.0,5%,128.0,NO,3.0,35%,2.0,33.0,148.0,29.0,in,,,,national-liberal-arts-colleges,St Mary's College Saint Mary's College St Marys College Saint Marys College St. Marys College,Notre Dame,,private,#82,82.0,,43.0,True,23.0,74.0,84.0,51430.0,3.8,1406.0,1030.0,31288.0,Suburban,4.48,"$25,209","$59,354",80%,75.0,188.0,0.2738,152390.0,183600.0,https://www.saintmarys.edu/,0.0,1.0,0.7692,0.0174,0.1488,0.016,0.0,0.0007,0.029,0.0073,0.0116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63986.0,0.83893805309734,0.6837,2.0
109,st. mary's college of maryland,saint mary's college of maryland,,77%,80.0,69%,21.0,-6%,108.0,74.0,-3%,124.0,57899.0,58672.0,103.0,10582.0,32.0,0.4,96.0,43.0,166.0,112.0,10%,56.0,NO,0.0,6%,78.0,60.0,63.0,168.0,md,,,,national-liberal-arts-colleges,St Mary's College of Maryland Saint Mary's College of Maryland St Marys College of Maryland Saint Marys College of Maryland St. Marys College of Maryland,St. Marys City,,public,#82,82.0,,83.0,True,28.0,50.0,77.0,31312.0,3.5,1513.0,1130.0,36156.0,Rural,4.13,"$18,736","$60,110",73%,67.0,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,
110,beloit college,beloit college,238333.0,81%,57.0,71%,13.0,-3%,72.0,65.0,3%,66.0,52110.0,55071.0,139.0,13312.0,48.0,0.1,119.0,29.0,71.0,112.0,6%,118.0,NO,2.0,4%,108.0,52.0,47.0,123.0,wi,192.0,Beloit,Wisconsin,national-liberal-arts-colleges,,Beloit,,private,#86,86.0,66.0,63.0,True,26.0,67.0,66.0,58554.0,3.3,964.0,1190.0,26988.0,City,6.15,"$19,672","$53,260",77%,115.0,64.0,0.3232,238333.0,383500.0,www.beloit.edu/,0.4777,0.5223,0.4919,0.0934,0.1672,0.0315,0.0,0.0,0.0369,0.1509,0.0282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66936.0,0.65857885615251,0.6518,2.0
111,stonehill college,stonehill college,167996.0,81%,56.0,80%,80.0,-7%,119.0,84.0,-12%,180.0,70873.0,64473.0,25.0,24143.0,189.0,0.6,79.0,121.0,161.0,48.0,4%,149.0,YES,1.0,10%,55.0,120.0,112.0,111.0,ma,219.0,Easton,Massachusetts,national-liberal-arts-colleges,,Easton,,private,#86,86.0,80.0,128.0,True,,62.0,73.0,52300.0,3.4,2536.0,,34082.0,Suburban,3.05,"$29,952","$77,745",82%,37.0,363.0,0.1282,167996.0,221700.0,https://www.stonehill.edu/,0.4489,0.5511,0.7762,0.0519,0.0706,0.0268,0.0012,0.0,0.0308,0.0158,0.0268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65513.0,0.73435135506947,0.7497,2.0
112,ursinus college,ursinus college,216524.0,79%,66.0,76%,59.0,-5%,93.0,70.0,-1%,104.0,66169.0,64128.0,66.0,24635.0,190.0,0.7,74.0,78.0,138.0,112.0,4%,152.0,NO,0.0,0%,143.0,116.0,82.0,185.0,pa,,,,national-liberal-arts-colleges,,Collegeville,,private,#86,86.0,,145.0,True,28.0,71.0,82.0,59176.0,3.6,1527.0,1180.0,35726.0,Suburban,3.92,"$31,493","$73,721",74%,59.0,107.0,0.1962,216524.0,338500.0,www.ursinus.edu/,0.5183,0.4817,0.7495,0.0718,0.0704,0.0346,0.002,0.0,0.0432,0.004,0.0246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73603.0,0.82205746061167,0.6911,2.0
113,saint anselm college,saint anselm college,183239.0,78%,70.0,78%,86.0,-4%,89.0,74.0,-10%,176.0,61867.0,60552.0,73.0,23442.0,185.0,0.0,122.0,157.0,154.0,36.0,12%,45.0,NO,2.0,26%,8.0,136.0,163.0,80.0,nh,256.0,Manchester,New Hampshire,national-liberal-arts-colleges,St Anselm College Saint Anselm College,Manchester,,private,#89,89.0,93.0,136.0,True,26.0,68.0,82.0,46800.0,3.4,1959.0,1120.0,36693.0,City,3.76,"$35,038","$73,371",82%,52.0,242.0,0.1132,183239.0,258700.0,https://www.anselm.edu/,0.399,0.601,0.8685,0.0148,0.045,0.0113,0.001,0.0005,0.024,0.0072,0.0276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63187.0,0.8229937393284,0.8201,2.0
114,southwestern university,southwestern university,228343.0,72%,97.0,74%,122.0,-8%,124.0,88.0,-7%,157.0,58696.0,63382.0,158.0,20987.0,165.0,0.2,106.0,81.0,175.0,112.0,5%,125.0,NO,6.0,4%,103.0,164.0,92.0,140.0,tx,238.0,Georgetown,Texas,national-liberal-arts-colleges,,Georgetown,,private,#89,89.0,89.0,163.0,True,24.0,58.0,45.0,50858.0,3.5,1483.0,1120.0,27192.0,Suburban,5.37,"$29,104","$56,878",74%,100.0,151.0,0.2473,228343.0,362000.0,https://www.southwestern.edu/,0.4628,0.5372,0.5601,0.0554,0.2682,0.0405,0.0027,0.0007,0.0493,0.0169,0.0061,0.0,0.0,0.0,0.0,0.0,1.0,0.0,61668.0,0.44790354507827,0.6421,2.0
115,university of puget sound,university of puget sound,236328.0,77%,76.0,77%,89.0,-9%,135.0,93.0,5%,58.0,63206.0,60703.0,57.0,22769.0,179.0,0.9,64.0,64.0,15.0,109.0,7%,99.0,NO,4.0,21%,16.0,112.0,67.0,15.0,wa,,,,national-liberal-arts-colleges,,Tacoma,,private,#89,89.0,,74.0,True,26.0,51.0,83.0,59900.0,3.5,1712.0,1170.0,34748.0,City,4.82,"$37,164","$69,594",77%,92.0,127.0,0.1779,236328.0,379700.0,www.pugetsound.edu/,0.4246,0.5754,0.6583,0.0298,0.1157,0.0678,0.0029,0.0058,0.0864,0.0064,0.0269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73002.0,0.82656688493919,0.6958,2.0
116,washington & jefferson college,washington & jefferson college,216667.0,72%,95.0,69%,53.0,-11%,148.0,62.0,0%,92.0,66716.0,54591.0,10.0,20540.0,158.0,0.4,86.0,76.0,174.0,31.0,11%,47.0,NO,0.0,3%,125.0,81.0,87.0,172.0,pa,,,,national-liberal-arts-colleges,,Washington,,private,#89,89.0,,108.0,True,19.0,74.0,88.0,28185.0,3.5,1149.0,1010.0,31769.0,Suburban,3.61,"$25,625","$67,918",68%,47.0,48.0,0.322,216667.0,338900.0,www.washjeff.edu/,0.5268,0.4732,0.7647,0.0746,0.0553,0.0167,0.0026,0.0009,0.0606,0.0105,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64529.0,0.88078500292911,0.6876,2.0
117,austin college,austin college,222983.0,70%,104.0,72%,128.0,-9%,137.0,77.0,0%,95.0,58542.0,67154.0,189.0,18302.0,124.0,0.2,113.0,59.0,58.0,112.0,3%,164.0,NO,2.0,14%,36.0,167.0,80.0,90.0,tx,261.0,Sherman,Texas,national-liberal-arts-colleges,,Sherman,,private,#93,93.0,95.0,150.0,True,23.0,65.0,55.0,46025.0,3.6,1169.0,1130.0,25948.0,,3.87,"$22,764","$61,296",70%,58.0,144.0,0.3113,222983.0,354300.0,www.austincollege.edu/,0.4966,0.5034,0.4889,0.0712,0.2607,0.1201,0.0111,0.0009,0.0326,0.012,0.0026,0.0,0.0,0.0,0.0,1.0,0.0,0.0,57746.0,0.54372110939907,0.6725,2.0
118,drew university,drew university,184348.0,64%,138.0,72%,181.0,-2%,65.0,93.0,6%,53.0,56546.0,53140.0,52.0,15538.0,80.0,0.0,122.0,104.0,115.0,83.0,8%,77.0,YES,6.0,7%,76.0,75.0,116.0,48.0,nj,,,,national-liberal-arts-colleges,,Madison,,private,#93,93.0,,73.0,True,26.0,,73.0,43824.0,3.5,1549.0,1120.0,,,3.99,"$24,892","$63,646",70%,61.0,93.0,0.3013,184348.0,260300.0,www.drew.edu/,0.4179,0.5821,0.5765,0.1008,0.0296,0.0388,0.0021,0.0,0.0867,0.1064,0.0592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60012.0,0.72658884565499,0.6971,2.0
119,lewis & clark college,lewis & clark college,209056.0,77%,77.0,81%,154.0,-7%,118.0,104.0,6%,50.0,52084.0,58909.0,178.0,23173.0,182.0,2.6,33.0,33.0,4.0,112.0,12%,42.0,NO,6.0,24%,12.0,162.0,27.0,1.0,or,234.0,Portland,Oregon,national-liberal-arts-colleges,Lewis and Clark College,Portland,,private,#93,93.0,87.0,65.0,True,29.0,59.0,69.0,62350.0,3.7,2210.0,1260.0,32977.0,City,5.74,"$33,819","$62,205",74%,106.0,177.0,0.2071,209056.0,319700.0,www.lclark.edu/,0.3548,0.6452,0.6863,0.0265,0.1093,0.0457,0.0005,0.0018,0.0796,0.0434,0.0069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73969.0,0.68587723247786,0.6733,2.0
120,st. john's college,saint john's college,245652.0,58%,153.0,67%,185.0,0%,37.0,26.0,22%,3.0,42305.0,35068.0,21.0,24017.0,188.0,0.0,122.0,13.0,3.0,112.0,2%,181.0,NO,0.0,0%,149.0,90.0,23.0,64.0,nm,,,,national-liberal-arts-colleges,St John's College Saint John's College St Johns College Saint Johns College St. Johns College,Santa Fe,,private,#93,93.0,,62.0,True,30.0,50.0,54.0,39356.0,3.7,366.0,1290.0,23609.0,City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,saint norbert college,saint norbert college,239716.0,72%,99.0,73%,120.0,-3%,79.0,100.0,-3%,120.0,53346.0,59157.0,167.0,21463.0,172.0,0.3,104.0,155.0,139.0,16.0,12%,46.0,YES,5.0,13%,42.0,143.0,153.0,34.0,wi,,,,national-liberal-arts-colleges,St Norbert College Saint Norbert College,De Pere,,private,#93,93.0,,124.0,True,21.0,63.0,84.0,44432.0,3.6,1814.0,1010.0,30485.0,Suburban,5.64,"$25,644","$58,363",72%,104.0,465.0,0.1688,239716.0,389200.0,www.snc.edu/,0.4344,0.5656,0.8459,0.0174,0.0628,0.0174,0.005,0.0006,0.0241,0.0151,0.0118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54466.0,0.83588565594691,0.6926,2.0
122,washington college,washington college,164216.0,70%,106.0,71%,119.0,-1%,47.0,47.0,5%,57.0,65569.0,59967.0,32.0,15039.0,70.0,0.0,122.0,112.0,164.0,112.0,2%,179.0,NO,0.0,0%,149.0,51.0,126.0,191.0,md,204.0,Chestertown,Maryland,national-liberal-arts-colleges,,Chestertown,,private,#93,93.0,73.0,109.0,True,25.0,18.0,75.0,54266.0,3.7,955.0,1190.0,67622.0,Rural,1.88,"$12,606","$65,518",70%,13.0,42.0,0.2168,164216.0,210800.0,www.washcoll.edu/,0.4193,0.5807,0.6449,0.1155,0.0866,0.0332,0.0053,0.0021,0.0,0.0289,0.0834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67427.0,0.74706342991386,0.6683,2.0
123,whittier college,whittier college,125763.0,69%,109.0,73%,159.0,4%,10.0,149.0,12%,20.0,57443.0,60472.0,143.0,18960.0,139.0,0.2,112.0,148.0,114.0,112.0,18%,20.0,YES,5.0,8%,68.0,63.0,147.0,27.0,ca,,,,national-liberal-arts-colleges,,Whittier,,private,#93,93.0,,64.0,True,24.0,59.0,94.0,49864.0,3.4,1131.0,1140.0,28489.0,Suburban,5.44,"$26,635","$59,492",66%,101.0,88.0,0.3424,125763.0,134200.0,www.whittier.edu/,0.4457,0.5543,0.2625,0.0489,0.444,0.0676,0.0,0.0044,0.0667,0.0694,0.0365,0.0,0.0,0.0,0.0,0.0,1.0,0.0,62130.0,0.75447909754479,0.6014,2.0
124,antioch college,antioch college,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oh,,,,national-liberal-arts-colleges,,Yellow Springs,,private,#100,100.0,,,True,19.0,,83.0,37143.0,,127.0,,,,,,,,,7.0,0.7293,483018.0,4244300.0,antiochcollege.edu/,0.2992,0.7008,0.4724,0.2047,0.189,0.0079,0.0079,0.0079,0.0472,0.0,0.063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49593.0,0.82954545454545,0.125,2.0
125,augustana college,augustana college,143084.0,72%,100.0,77%,167.0,-8%,122.0,128.0,-9%,169.0,60109.0,59269.0,79.0,18714.0,136.0,0.3,98.0,143.0,111.0,112.0,2%,177.0,NO,2.0,15%,32.0,121.0,141.0,130.0,il,271.0,Rock Island,Illinois,national-liberal-arts-colleges,,Rock Island,,private,#100,100.0,99.0,138.0,True,21.0,66.0,61.0,49834.0,3.4,2318.0,1020.0,31866.0,Suburban,1.83,"$11,780","$62,971",76%,11.0,220.0,0.2167,143084.0,163300.0,www.augustana.edu/,0.4538,0.5462,0.6073,0.0387,0.1288,0.0281,0.0009,0.0,0.0356,0.1486,0.0119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59262.0,0.61220387652548,0.7446,2.0
126,earlham college,earlham college,150455.0,66%,128.0,68%,127.0,-14%,167.0,50.0,0%,101.0,44690.0,50095.0,163.0,16770.0,100.0,0.2,105.0,20.0,42.0,112.0,1%,186.0,NO,0.0,3%,118.0,171.0,31.0,143.0,in,207.0,Richmond,Indiana,national-liberal-arts-colleges,,Richmond,,private,#100,100.0,76.0,144.0,True,24.0,81.0,73.0,51840.0,3.7,612.0,1130.0,24721.0,,10.75,"$25,496","$50,797",67%,146.0,34.0,0.2511,150455.0,179300.0,https://earlham.edu/,0.4686,0.5314,0.5654,0.0764,0.0866,0.0272,0.0,0.0,0.0441,0.1919,0.0085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62999.0,0.73236363636363,0.662,2.0
127,hope college,hope college,170301.0,79%,64.0,75%,49.0,-15%,174.0,157.0,-7%,156.0,55053.0,58074.0,142.0,18984.0,140.0,3.9,17.0,98.0,167.0,111.0,5%,139.0,NO,1.0,20%,19.0,135.0,50.0,145.0,mi,264.0,Holland,Michigan,national-liberal-arts-colleges,,Holland,,private,#100,100.0,96.0,123.0,True,24.0,40.0,80.0,37221.0,3.8,3251.0,1090.0,25965.0,City,4.75,"$23,985","$58,427",75%,87.0,171.0,0.1682,170301.0,227300.0,https://www.hope.edu/,0.3864,0.6136,0.7888,0.0356,0.0756,0.0233,0.0013,0.0003,0.034,0.0268,0.0142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49892.0,0.80454192546583,0.7292,2.0
128,morehouse college,morehouse college,140553.0,55%,159.0,56%,124.0,-14%,168.0,173.0,12%,19.0,51715.0,53926.0,131.0,27764.0,195.0,5.7,4.0,94.0,33.0,11.0,4%,147.0,NO,3.0,0%,146.0,170.0,28.0,86.0,ga,,,,national-liberal-arts-colleges,,Atlanta,,private,#100,100.0,,127.0,True,18.0,,59.0,14734.0,3.5,2567.0,,,,9.49,"$36,836","$52,889",58%,143.0,39.0,0.433,140553.0,158200.0,www.morehouse.edu/,0.9996,0.0004,0.002,0.9844,0.0004,0.0,0.0004,0.0,0.0082,0.0047,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,48890.0,0.60007661367554,0.397,2.0
129,new college of florida,new college of florida,,64%,136.0,65%,110.0,-3%,76.0,50.0,7%,39.0,46668.0,45206.0,72.0,6993.0,9.0,0.9,66.0,11.0,18.0,112.0,5%,132.0,NO,6.0,0%,149.0,37.0,18.0,44.0,fl,,,,national-liberal-arts-colleges,,Sarasota,,public,#100,100.0,,18.0,True,24.0,48.0,75.0,29944.0,3.9,669.0,1103.0,20132.0,Suburban,2.54,"$7,091","$48,082",65%,24.0,89.0,0.2975,262129.0,3957400.0,www.ncf.edu/,0.3199,0.6801,0.6457,0.0404,0.1704,0.0419,0.0,0.0015,0.0523,0.0359,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22236.0,0.75409836065573,0.5391,1.0
130,sarah lawrence college,sarah lawrence college,195304.0,78%,73.0,82%,161.0,2%,23.0,55.0,-5%,143.0,49230.0,50378.0,114.0,25038.0,191.0,0.2,111.0,77.0,117.0,108.0,8%,89.0,NO,0.0,12%,44.0,142.0,90.0,144.0,ny,200.0,Bronxville,New York,national-liberal-arts-colleges,,Bronxville,,private,#100,100.0,72.0,146.0,True,29.0,56.0,50.0,63678.0,3.8,1462.0,1260.0,40447.0,Suburban,,,,,,15.0,0.1174,195304.0,281300.0,www.sarahlawrence.edu/,0.2047,0.7953,0.597,0.0438,0.1066,0.0494,0.0007,0.0007,0.0586,0.0593,0.084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76703.0,0.49884303895102,0.6552,2.0
131,linfield university,linfield university,209065.0,73%,90.0,67%,29.0,-7%,115.0,104.0,-5%,134.0,68219.0,56070.0,9.0,23201.0,183.0,0.2,110.0,101.0,17.0,95.0,7%,105.0,NO,6.0,12%,43.0,70.0,110.0,16.0,or,160.0,McMinnville,Oregon,national-liberal-arts-colleges,,McMinnville,,private,#107,107.0,57.0,54.0,True,,,90.0,49460.0,3.6,1704.0,,,Rural,2.99,"$29,934","$78,638",77%,35.0,492.0,0.2855,209065.0,319800.0,https://www.linfield.edu/,0.3479,0.6521,0.6077,0.0138,0.2046,0.066,0.0054,0.0078,0.0726,0.006,0.0162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61344.0,0.88689915174363,0.5995,2.0
132,lycoming college,lycoming college,213668.0,67%,123.0,63%,43.0,-6%,107.0,95.0,7%,41.0,54458.0,50154.0,44.0,14665.0,64.0,0.0,122.0,135.0,163.0,32.0,2%,174.0,NO,2.0,0%,149.0,47.0,142.0,182.0,pa,,,,national-liberal-arts-colleges,,Williamsport,,private,#107,107.0,,100.0,True,20.0,,75.0,47450.0,3.6,1067.0,1053.0,,City,4.54,"$18,549","$56,210",60%,79.0,358.0,0.4218,213668.0,329300.0,https://www.lycoming.edu/,0.4771,0.5229,0.6128,0.1262,0.1405,0.0134,0.0019,0.0,0.0335,0.0287,0.043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59747.0,0.75222112537018,0.5481,2.0
133,randolph-macon college,randolph-macon college,233295.0,67%,124.0,67%,102.0,-6%,102.0,72.0,-16%,194.0,55932.0,56980.0,109.0,21298.0,170.0,0.0,122.0,163.0,158.0,76.0,3%,157.0,NO,0.0,0%,149.0,161.0,168.0,188.0,va,,,,national-liberal-arts-colleges,R-MC Randolph Macon College Randolph Macon,Ashland,,private,#107,107.0,,181.0,True,23.0,,85.0,48106.0,3.7,1490.0,1020.0,,Suburban,6.22,"$27,462","$58,448",64%,117.0,216.0,0.1913,233295.0,373300.0,https://www.rmc.edu/,0.4533,0.5467,0.752,0.086,0.0528,0.0224,0.002,0.0007,0.0535,0.0176,0.0129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59197.0,0.85445625511038,0.6793,2.0
134,susquehanna university,susquehanna university,216278.0,71%,102.0,74%,146.0,-8%,129.0,107.0,-1%,107.0,58842.0,56621.0,60.0,21028.0,166.0,0.2,107.0,159.0,131.0,34.0,3%,166.0,NO,6.0,6%,77.0,118.0,157.0,109.0,pa,207.0,Selinsgrove,Pennsylvania,national-liberal-arts-colleges,,Selinsgrove,,private,#107,107.0,76.0,134.0,True,23.0,,88.0,57400.0,3.7,2199.0,1088.0,,Rural,4.48,"$27,370","$61,723",75%,76.0,625.0,0.2444,216278.0,336900.0,www.susqu.edu/,0.4268,0.5732,0.791,0.0622,0.0664,0.0168,0.0005,0.0009,0.0271,0.0089,0.0262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69479.0,0.76690196078431,0.7002,2.0
135,westmont college,westmont college,125727.0,77%,78.0,76%,98.0,-3%,73.0,65.0,-4%,131.0,61662.0,63096.0,118.0,25361.0,193.0,0.2,114.0,113.0,102.0,51.0,2%,180.0,NO,0.0,0%,149.0,148.0,121.0,179.0,ca,197.0,Santa Barbara,California,national-liberal-arts-colleges,,Santa Barbara,,private,#107,107.0,70.0,169.0,True,30.0,,82.0,51790.0,3.6,1293.0,1210.0,,City,4.54,"$31,227","$64,778",71%,78.0,149.0,0.1898,125727.0,134100.0,www.westmont.edu/,0.3886,0.6114,0.5226,0.0202,0.2313,0.0693,0.0023,0.0023,0.067,0.0171,0.0678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67000.0,0.81986242476354,0.7011,2.0
136,bennington college,bennington college,230816.0,74%,88.0,71%,62.0,1%,27.0,30.0,1%,89.0,46270.0,45745.0,84.0,22894.0,180.0,0.0,122.0,80.0,8.0,112.0,14%,32.0,NO,1.0,1%,136.0,104.0,95.0,38.0,vt,,,,national-liberal-arts-colleges,,Bennington,,private,#112,112.0,,88.0,True,29.0,,45.0,64644.0,3.6,785.0,1260.0,,,,,,,,10.0,0.2259,230816.0,368200.0,https://www.bennington.edu/,0.3288,0.6712,0.6276,0.0286,0.1023,0.0082,0.0055,0.0,0.0464,0.1555,0.0259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80648.0,0.45305248125669,0.6308,2.0
137,hanover college,hanover college,150756.0,68%,113.0,66%,73.0,-11%,146.0,79.0,0%,98.0,50441.0,51177.0,101.0,15925.0,87.0,0.0,122.0,86.0,124.0,112.0,0%,187.0,NO,0.0,4%,98.0,111.0,99.0,183.0,in,,,,national-liberal-arts-colleges,,Hanover,,private,#112,112.0,,143.0,True,24.0,,74.0,41441.0,3.8,951.0,1090.0,,,6.41,"$24,059","$53,957",70%,119.0,111.0,0.2759,150756.0,180100.0,www.hanover.edu/,0.4995,0.5005,0.7692,0.0474,0.0263,0.0063,0.0095,0.0,0.0558,0.0537,0.0316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55210.0,0.74113586444932,0.6656,2.0
