Name,us_news_schoolType,us_news_aliasNames,state,us_news_city,us_news_region,us_news_institutionalControl,us_news_displayRank,us_news_sortRank,us_news_isTied,us_news_actAvg,us_news_percentReceivingAid,us_news_acceptanceRate,us_news_tuition,us_news_hsGpaAvg,us_news_enrollment,us_news_satAvg,us_news_costAfterAid,us_news_Setting
Westmont College,national-liberal-arts-colleges,,CA,Santa Barbara,,private,#107,107,True,30.0,,82.0,51790.0,3.6,1293,1210.0,,City
Wheaton College (IL),national-liberal-arts-colleges,,IL,Wheaton,,private,#56,56,True,28.0,60.0,89.0,43930.0,3.7,2187,1250.0,29711.0,
Wheaton College (MA),national-liberal-arts-colleges,,MA,Norton,,private,#75,75,True,27.0,72.0,80.0,62080.0,3.7,1667,1200.0,33317.0,Suburban
Whitman College,national-liberal-arts-colleges,,WA,Walla Walla,,private,#46,46,True,30.0,47.0,48.0,61492.0,3.6,1493,1293.0,32400.0,
Whittier College,national-liberal-arts-colleges,,CA,Whittier,,private,#93,93,True,24.0,59.0,94.0,49864.0,3.4,1131,1140.0,28489.0,Suburban
Willamette University,national-liberal-arts-colleges,,OR,Salem,,private,#75,75,True,27.0,61.0,81.0,48226.0,3.7,1367,1230.0,33510.0,
Williams College,national-liberal-arts-colleges,,MA,Williamstown,,private,#1,1,False,34.0,51.0,8.0,64860.0,,2152,1480.0,14917.0,Rural
Wittenberg University,national-liberal-arts-colleges,,OH,Springfield,,private,#152,152,True,20.0,,94.0,44602.0,3.6,1258,1020.0,,City
Wofford College,national-liberal-arts-colleges,,SC,Spartanburg,,private,#59,59,True,27.0,58.0,60.0,54100.0,3.7,1823,1200.0,30524.0,
Young Harris College,national-liberal-arts-colleges,,GA,Young Harris,,private,#186-204,-1,False,,,75.0,30905.0,,1388,,,
